event_id;event_name;sport_id
1;Athletics Men's Marathon;2
2;Athletics Men's 100 metres;2
3;Athletics Men's 4 x 100 metres Relay;2
4;Athletics Men's 4 x 400 metres Relay;2
5;Athletics Men's 200 metres;2
6;Athletics Men's 400 metres;2
7;Athletics Men's 800 metres;2
8;Athletics Women's 100 metres;2
9;Athletics Men's 1,500 metres;2
10;Athletics Women's 4 x 100 metres Relay;2
11;Athletics Men's Long Jump;2
12;Athletics Men's 5,000 metres;2
13;Athletics Men's 10,000 metres;2
14;Athletics Men's High Jump;2
15;Athletics Men's Discus Throw;2
16;Athletics Men's Triple Jump;2
17;Athletics Men's 110 metres Hurdles;2
18;Athletics Men's 400 metres Hurdles;2
19;Athletics Men's Decathlon;2
20;Athletics Men's 3,000 metres Steeplechase;2
21;Athletics Men's Javelin Throw;2
22;Athletics Women's 200 metres;2
23;Athletics Men's Shot Put;2
24;Athletics Men's Pole Vault;2
25;Athletics Men's 50 kilometres Walk;2
26;Athletics Men's Hammer Throw;2
27;Athletics Women's Long Jump;2
28;Athletics Women's High Jump;2
29;Athletics Men's 20 kilometres Walk;2
30;Athletics Women's 800 metres;2
31;Athletics Women's 400 metres;2
32;Athletics Women's Discus Throw;2
33;Athletics Women's 4 x 400 metres Relay;2
34;Athletics Women's Javelin Throw;2
35;Athletics Women's 80 metres Hurdles;2
36;Athletics Women's Shot Put;2
37;Athletics Women's 1,500 metres;2
38;Athletics Women's Pentathlon;2
39;Athletics Women's 100 metres Hurdles;2
40;Athletics Women's 400 metres Hurdles;2
41;Athletics Men's Pentathlon;2
42;Athletics Men's Shot Put, Both Hands;2
43;Athletics Women's 3,000 metres;2
44;Athletics Women's Heptathlon;2
45;Athletics Women's Marathon;2
46;Athletics Men's 10 kilometres Walk;2
47;Athletics Men's Cross-Country, Individual;2
48;Athletics Men's Cross-Country, Team;2
49;Athletics Men's 3,000 metres, Team;2
50;Athletics Men's 3,000 metres Walk;2
51;Athletics Men's 5 mile;2
52;Athletics Men's Standing High Jump;2
53;Athletics Men's Javelin Throw, Freestyle;2
54;Athletics Men's Standing Long Jump;2
55;Athletics Men's Javelin Throw, Both Hands;2
56;Athletics Men's 3,500 metres Walk;2
57;Athletics Men's 10 mile Walk;2
58;Athletics Men's 1,600 metres Medley Relay;2
59;Athletics Men's 3 mile, Team;2
60;Athletics Men's 3,200 metres Steeplechase;2
61;Athletics Men's Discus Throw, Greek Style;2
62;Athletics Men's 60 metres;2
63;Athletics Men's Discus Throw, Both Hands;2
64;Athletics Men's 56-pound Weight Throw;2
65;Athletics Women's 10,000 metres;2
66;Athletics Women's 10 kilometres Walk;2
67;Athletics Women's Triple Jump;2
68;Athletics Women's 5,000 metres;2
69;Athletics Women's 20 kilometres Walk;2
70;Athletics Women's Pole Vault;2
71;Athletics Women's Hammer Throw;2
72;Athletics Women's 3,000 metres Steeplechase;2
73;Athletics Men's All-Around Championship;2
74;Athletics Men's 2,590 metres Steeplechase;2
75;Athletics Men's 200 metres Hurdles;2
569;Athletics Men's 4 mile, Team;2
570;Athletics Men's Standing Triple Jump;2
143;Shooting Men's Running Target, 50 metres;10
144;Shooting Women's Double Trap;10
145;Shooting Mixed Free Rifle, Three Positions, 300 metres;10
146;Shooting Men's Running Target, Single And Double Shot;10
147;Shooting Mixed Running Target, 50 metres;10
148;Shooting Women's Skeet;10
149;Shooting Men's Running Target, 10 metres;10
150;Shooting Women's Trap;10
151;Shooting Men's Free Rifle, 1,000 Yards;10
152;Shooting Men's Free Pistol, 50 yards;10
153;Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards;10
154;Shooting Men's Small-Bore Rifle, Moving Target, 25 yards;10
155;Shooting Men's Running Target, Single Shot;10
156;Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards;10
157;Shooting Men's Running Target, Double Shot;10
158;Shooting Men's Free Rifle, Three Positions, 300 metres, Team;10
159;Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team;10
160;Shooting Men's Free Pistol, 50 yards, Team;10
161;Shooting Men's Trap, Team;10
162;Shooting Men's Running Target, Double Shot, Team;10
163;Shooting Men's Free Rifle, Prone, 600 metres;10
164;Shooting Men's Running Target, Single Shot, Team;10
165;Shooting Men's Free Rifle, 400, 600 and 800 metres, Team;10
166;Shooting Men's Double Trap;10
167;Shooting Mixed Free Pistol, 50 metres;10
168;Shooting Mixed Rapid-Fire Pistol, 25 metres;10
169;Shooting Men's Military Rifle, Standing, 300 metres;10
170;Shooting Men's Small-Bore Rifle, Standing, 50 metres;10
171;Shooting Men's Military Rifle, Prone, 300 metres;10
172;Shooting Men's Military Rifle, Prone, 600 metres;10
173;Shooting Men's Military Pistol, 30 metres;10
174;Shooting Men's Free Pistol, 50 metres, Team;10
175;Shooting Men's Military Rifle, Prone, 300 metres, Team;10
176;Shooting Men's Military Rifle, Prone, 600 metres, Team;10
177;Shooting Men's Military Rifle, Standing, 300 metres, Team;10
178;Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team;10
179;Shooting Men's Military Pistol, Team;10
180;Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team;10
181;Shooting Men's Unknown Event;10
182;Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres;10
183;Shooting Men's Military Rifle, Three Positions, 300 metres;10
184;Shooting Men's Military Rifle, Any Position, 600 metres;10
185;Shooting Men's Dueling Pistol, 30 metres;10
186;Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres;10
187;Shooting Men's Small-Bore Rifle, Any Position, 50 metres;10
188;Shooting Men's Dueling Pistol, 30 metres, Team;10
189;Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team;10
190;Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team;10
191;Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team;10
192;Shooting Men's Skeet;10
193;Shooting Men's Free Rifle, Three Positions, 300 metres;10
194;Shooting Mixed Small-Bore Rifle, Prone, 50 metres;10
195;Shooting Women's Small-Bore Rifle, Three Positions, 50 metres;10
196;Shooting Women's Sporting Pistol, 25 metres;10
197;Shooting Women's Air Pistol, 10 metres;10
198;Shooting Mixed Trap;10
199;Shooting Men's Air Pistol, 10 metres;10
200;Shooting Mixed Skeet;10
201;Shooting Women's Air Rifle, 10 metres;10
202;Shooting Men's Air Rifle, 10 metres;10
203;Shooting Men's Trap;10
204;Shooting Men's Rapid-Fire Pistol, 25 metres;10
205;Shooting Men's Small-Bore Rifle, Three Positions, 50 metres;10
206;Shooting Men's Free Pistol, 50 metres;10
207;Shooting Men's Small-Bore Rifle, Prone, 50 metres;10
544;Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team;10
76;Gymnastics Women's Team All-Around;21
77;Gymnastics Women's Team Portable Apparatus;21
78;Gymnastics Men's Rope Climbing;21
79;Gymnastics Men's Side Horse;21
80;Gymnastics Men's Individual All-Around, Field Sports;21
81;Gymnastics Men's Individual All-Around, Apparatus Work;21
82;Gymnastics Men's Team All-Around, Free System;21
83;Gymnastics Men's Tumbling;21
84;Gymnastics Men's Individual All-Around, 4 Events;21
85;Gymnastics Women's Horse Vault;21
86;Gymnastics Women's Floor Exercise;21
87;Gymnastics Women's Uneven Bars;21
88;Gymnastics Women's Individual All-Around;21
89;Gymnastics Men's Team All-Around;21
90;Gymnastics Women's Balance Beam;21
91;Gymnastics Men's Horse Vault;21
92;Gymnastics Men's Floor Exercise;21
93;Gymnastics Men's Rings;21
94;Gymnastics Men's Pommelled Horse;21
95;Gymnastics Men's Horizontal Bar;21
96;Gymnastics Men's Parallel Bars;21
97;Gymnastics Men's Individual All-Around;21
98;Swimming Men's 100 metres Freestyle;3
99;Swimming Men's 4 x 200 metres Freestyle Relay;3
100;Swimming Men's 4 x 100 metres Medley Relay;3
101;Swimming Women's 4 x 100 metres Freestyle Relay;3
102;Swimming Women's 100 metres Freestyle;3
103;Swimming Men's 400 metres Freestyle;3
104;Swimming Women's 4 x 100 metres Medley Relay;3
105;Swimming Men's 200 metres Breaststroke;3
106;Swimming Men's 4 x 100 metres Freestyle Relay;3
107;Swimming Men's 100 metres Backstroke;3
108;Swimming Women's 100 metres Backstroke;3
109;Swimming Men's 200 metres Freestyle;3
