sport_id;sport_name
1;Judo
2;Athletics
3;Swimming
4;Weightlifting
5;Tennis
6;Cycling
7;Boxing
8;Diving
9;Football
10;Shooting
11;Sailing
12;Archery
13;Hockey
14;Rowing
15;Equestrianism
16;Triathlon
17;Badminton
18;Wrestling
19;Fencing
20;Taekwondo
21;Gymnastics
22;Canoeing
23;Table Tennis
24;Volleyball
25;Softball
26;Basketball
27;Beach Volleyball
28;Synchronized Swimming
29;Golf
30;Art Competitions
31;Rhythmic Gymnastics
32;Trampolining
33;Water Polo
34;Tug-Of-War
35;Baseball
36;Rugby Sevens
37;Handball
38;Modern Pentathlon
39;Figure Skating
40;Rugby
41;Ice Hockey
42;Lacrosse
43;Polo
44;Roque
45;Jeu De Paume
46;Racquets
47;Motorboating
48;Alpinism
49;Aeronautics
