participations_id;athlete_id;country_id;medal_id;event_id;date_id;age;height_cm;weight_kg
90215;56850;4;1;1;23377;22;180;71
198009;123959;12;1;6;1;22;180;71
198011;123959;12;1;9;1;22;180;71
58354;36583;12;1;1;1;22;180;71
97557;61462;12;1;1;1;22;180;71
143953;90253;12;1;11;1;22;180;71
18748;12055;12;1;2;1;22;180;71
18749;12055;12;1;6;1;22;180;71
18747;12055;12;1;62;1;22;180;71
179930;112980;9;1;3;18994;22;180;71
179929;112980;9;1;5;18994;22;180;71
12422;8012;62;1;14;18994;22;180;71
26778;16951;69;1;2;18994;22;180;71
26780;16951;69;1;3;18994;22;180;71
26779;16951;69;1;5;18994;22;180;71
148663;93231;96;1;6;18994;22;180;71
148664;93231;96;1;7;18994;22;180;71
92277;58211;116;1;1;18994;22;180;71
186199;116830;116;1;4;18994;22;180;71
186198;116830;116;1;7;18994;22;180;71
39205;24624;119;1;5;18994;22;180;71
63935;40027;119;1;3;18994;22;180;71
63934;40027;119;1;5;18994;22;180;71
176989;111110;126;1;16;18994;22;180;71
177055;111146;126;1;7;18994;22;180;71
28198;17831;143;1;5;18994;22;180;71
73323;45984;173;1;2;18994;22;180;71
73324;45984;173;1;3;18994;22;180;71
151870;95135;180;1;2;18994;22;180;71
151872;95135;180;1;3;18994;22;180;71
151871;95135;180;1;5;18994;22;180;71
76831;48207;188;1;16;18994;22;180;71
76832;48207;188;1;19;18994;22;180;71
107209;67592;196;1;19;18994;22;180;71
131267;82201;196;1;11;18994;22;180;71
67711;42419;196;1;21;18994;22;180;71
40971;25725;9;1;14;17533;22;180;71
40970;25725;9;1;17;17533;22;180;71
45217;28329;16;1;4;17533;22;180;71
45216;28329;16;1;6;17533;22;180;71
65606;41091;19;1;7;17533;22;180;71
65607;41091;19;1;9;17533;22;180;71
206466;129277;30;1;19;17533;22;180;71
115433;72489;30;1;7;17533;22;180;71
115434;72489;30;1;9;17533;22;180;71
171130;107302;30;1;2;17533;22;180;71
171131;107302;30;1;3;17533;22;180;71
181862;114215;30;1;4;17533;22;180;71
115519;72555;39;1;1;17533;22;180;71
6155;3999;39;1;4;17533;22;180;71
6154;3999;39;1;6;17533;22;180;71
157678;98738;60;1;16;17533;22;180;71
67566;42315;61;1;12;17533;22;180;71
26775;16951;69;1;2;17533;22;180;71
26777;16951;69;1;3;17533;22;180;71
26776;16951;69;1;5;17533;22;180;71
81516;51216;69;1;26;17533;22;180;71
180708;113492;89;1;2;17533;22;180;71
180709;113492;89;1;6;17533;22;180;71
179464;112667;119;1;3;17533;22;180;71
179463;112667;119;1;5;17533;22;180;71
64399;40317;120;1;6;17533;22;180;71
64400;40317;120;1;7;17533;22;180;71
177054;111146;126;1;7;17533;22;180;71
151730;95055;126;1;2;17533;22;180;71
151731;95055;126;1;5;17533;22;180;71
73242;45931;127;1;2;17533;22;180;71
73244;45931;127;1;3;17533;22;180;71
73243;45931;127;1;5;17533;22;180;71
87584;55094;127;1;12;17533;22;180;71
87585;55094;127;1;13;17533;22;180;71
191725;120192;127;1;3;17533;22;180;71
191723;120192;127;1;17;17533;22;180;71
191724;120192;127;1;18;17533;22;180;71
106808;67350;138;1;3;17533;22;180;71
64455;40354;143;1;9;17533;22;180;71
154538;96765;143;1;20;17533;22;180;71
28197;17831;143;1;3;17533;22;180;71
28196;17831;143;1;6;17533;22;180;71
152208;95347;156;1;12;17533;22;180;71
148030;92841;173;1;15;17533;22;180;71
44350;27818;188;1;7;17533;22;180;71
197564;123673;188;1;4;17533;22;180;71
197563;123673;188;1;6;17533;22;180;71
114298;71781;188;1;4;17533;22;180;71
114297;71781;188;1;6;17533;22;180;71
76829;48207;188;1;14;17533;22;180;71
76830;48207;188;1;16;17533;22;180;71
107207;67592;196;1;11;17533;22;180;71
107206;67592;196;1;14;17533;22;180;71
107208;67592;196;1;19;17533;22;180;71
1080;722;199;1;2;17533;22;180;71
1081;722;199;1;3;17533;22;180;71
146882;92116;12;1;14;1462;22;180;71
161536;101251;12;1;6;1462;22;180;71
35223;22206;12;1;18;1462;22;180;71
35222;22206;12;1;9;1462;22;180;71
35221;22206;12;1;7;1462;22;180;71
146860;92103;16;1;6;1462;22;180;71
111917;70372;16;1;7;1462;22;180;71
78489;49307;16;1;60;1462;22;180;71
89618;56424;16;1;58;1462;22;180;71
89617;56424;16;1;7;1462;22;180;71
212899;133112;16;1;60;1462;22;180;71
165871;103873;16;1;6;1462;22;180;71
26481;16762;16;1;18;1462;22;180;71
59693;37384;31;1;2;1462;22;180;71
59694;37384;31;1;52;1462;22;180;71
59695;37384;31;1;16;1462;22;180;71
68280;42802;77;1;2;1462;22;180;71
68281;42802;77;1;5;1462;22;180;71
29538;18628;119;1;6;1462;22;180;71
29539;18628;119;1;9;1462;22;180;71
29541;18628;119;1;59;1462;22;180;71
29540;18628;119;1;60;1462;22;180;71
151210;94765;119;1;1;1462;22;180;71
151211;94765;119;1;59;1462;22;180;71
148365;93036;119;1;6;1462;22;180;71
156738;98180;128;1;5;1462;22;180;71
206645;129390;139;1;11;1462;22;180;71
14199;9151;139;1;2;1462;22;180;71
14200;9151;139;1;21;1462;22;180;71
194649;121906;139;1;6;1462;22;180;71
67174;42068;173;1;1;1462;22;180;71
67175;42068;173;1;56;1462;22;180;71
67176;42068;173;1;57;1462;22;180;71
99116;62477;188;1;2;1462;22;180;71
164522;103039;196;1;57;1462;22;180;71
164521;103039;196;1;56;1462;22;180;71
133427;83576;196;1;17;1462;22;180;71
133428;83576;196;1;18;1462;22;180;71
